,logFC,FDR,FC,geneLen,GC_content,median_IUPRED,5UTR_PARS_RNAstructure,CDS_PARS_RNAstructure,3UTR_PARS_RNAstructure,%AA_A,%AA_C,%AA_D,%AA_E,%AA_F,%AA_G,%AA_H,%AA_I,%AA_K,%AA_L,%AA_M,%AA_N,%AA_P,%AA_Q,%AA_R,%AA_S,%AA_T,%AA_V,%AA_W,%AA_Y,%Helical,%urn,%Beta-sheet,number of physical interaction,number of positive genetic interaction,number of negative genetic interaction,RNAseq RPKM,RNAseq log2(RPKM),MS mean,log2(MS),Imputed log2(MS),protein_synthesis_rate,real_protein_synthesis_rate,Ribo_profilling_init_rate,Ribo_profilling_ribo_num,Ribo_profilling_trans_rate,Ribo_profilling_trans_time,Ribo_profilling_delay_time,IDR ratio,Control Median,control Localization,GOMF,GOBP slim,GOCC slim,Number of complexe,Sum d0 Pause Score,Sum Odds Ratio,intron length,Intron status,aliphaticIndex,aromaticityScore,cai,codonBias,fopScore,gravyScore,instabilityIndex,molecularWeight,pI
YMR061W,1.13680159362346,0.0043480478652845,2.198929870398158,2034.0,35.2999,0.1298,,,,0.0354,0.0118,0.0487,0.087,0.0516,0.0324,0.0074,0.0516,0.0796,0.1077,0.0251,0.0796,0.0265,0.0575,0.0442,0.0841,0.0501,0.0413,0.0177,0.059,0.3289,0.2227,0.2552,28.0,15.0,87.0,19.403183335,4.350722356070832,507150000.0,28.917837278896055,28.917837278896055,,,0.106,15.686,0.081,193.189,17.406,0.0545722713864306,16.55,below threshold,GO:0005488;GO:0005515;GO:0046982;GO:0046983,GO:0006139;GO:0006396;GO:0006397;GO:0006807;GO:0008152;GO:0009607;GO:0009719;GO:0009987;GO:0016070;GO:0016071;GO:0034641;GO:0043170;GO:0044237;GO:0044238;GO:0050896,GO:0005634;GO:0005739;GO:0005829;GO:0005849;GO:0032991;GO:0043226;GO:0043229;GO:0043231;GO:0043234;GO:0044464,1.0,,,,0.0,71.81,0.13,0.15,0.05,0.46,-0.64,45.85,79953.1,5.45
YMR062C,-1.46103312102542,0.0111114283794686,0.3632329232881503,1326.0,40.2715,0.2094,-0.463333333333333,0.15491930618401,-0.054754098360656,0.0769,0.0158,0.0633,0.0452,0.0407,0.0724,0.0045,0.0656,0.0792,0.0928,0.0271,0.0656,0.0226,0.0339,0.0294,0.0792,0.0837,0.0747,0.0068,0.0181,0.2986,0.2398,0.2421,,,,9.464326622500002,3.3874075723064547,400773333.3333333,28.578211280344448,28.578211280344448,,,0.163,10.482,0.1,104.967,5.746,0.0,95.38,mitochondria,GO:0003824;GO:0004042;GO:0004358;GO:0008080;GO:0016407;GO:0016410;GO:0016740;GO:0016746;GO:0016747,GO:0006082;GO:0006520;GO:0006807;GO:0008152;GO:0009058;GO:0009308;GO:0009987;GO:0034641;GO:0042180;GO:0044237;GO:0044238;GO:0044281,GO:0044464,0.0,,,,0.0,89.44,0.07,0.17,0.15,0.52,-0.1,25.99,47849.3,7.18
YMR063W,-3.01164169264996,0.0020769963837774,0.1239953829781972,720.0,43.1944,0.0104,,,,0.0458,0.0292,0.0333,0.0375,0.0458,0.0417,0.025,0.075,0.0333,0.1375,0.05,0.025,0.0417,0.0292,0.0208,0.1083,0.0667,0.0958,0.0167,0.0375,0.4083,0.2167,0.2708,1.0,18.0,102.0,7.6059895755,3.105341092739911,,,24.787008175538563,,,0.091,4.42,0.072,61.722,1.599,0.0,18.47,below threshold,,GO:0000003;GO:0009987;GO:0030154;GO:0030437;GO:0032502;GO:0043934;GO:0048468;GO:0048646;GO:0048856,GO:0005886;GO:0016020;GO:0044464,0.0,,,,0.0,112.02,0.1,0.1,0.04,0.44,0.62,45.88,26692.8,6.22
YMR064W,0.281283547470313,0.842399676790429,1.2152756188623404,1557.0,35.3886,0.087,,,,0.0539,0.0154,0.0385,0.0597,0.052,0.0289,0.027,0.1021,0.0848,0.1098,0.0212,0.0771,0.0443,0.0308,0.0482,0.0636,0.052,0.0482,0.0058,0.0347,0.3526,0.2139,0.2447,,,,15.6362232825,4.056256048196203,28657666.666666668,24.77241786339095,24.77241786339095,,,0.031,4.331,0.029,150.228,3.981,0.0,20.75,mitochondria,GO:0045182,GO:0006417;GO:0065007,GO:0005739;GO:0043226;GO:0043229;GO:0043231;GO:0044464,0.0,,,,0.0,96.58,0.09,0.12,-0.05,0.41,-0.17,44.43,59766.4,9.77
YMR065W,-0.25780976072122,0.460812641102443,0.8363566778292547,1515.0,35.5776,0.1115,,,,0.0356,0.0178,0.0673,0.0772,0.0475,0.0337,0.0099,0.0673,0.0693,0.1267,0.0455,0.0772,0.0139,0.0356,0.0317,0.0871,0.0495,0.0515,0.0178,0.0356,0.3465,0.2119,0.2851,6.0,1.0,12.0,3.470014194,2.160279412522888,,,22.40031147573015,,,0.011,1.546,0.011,143.834,1.659,0.0,14.73,below threshold,,GO:0006996;GO:0009987;GO:0016043;GO:0048284,GO:0016020;GO:0044464,0.0,,,,0.0,89.02,0.1,0.12,-0.05,0.4,-0.22,35.9,58418.4,4.53
YMR066W,-0.887080847580452,0.020367587058471,0.5407070800614021,2697.0,33.8524,0.1349,,,,0.0389,0.01,0.0378,0.0912,0.0545,0.0278,0.0145,0.0823,0.1001,0.1135,0.0211,0.0768,0.03,0.0389,0.04,0.0779,0.0523,0.0434,0.0056,0.0423,0.3415,0.2125,0.2647,3.0,1.0,3.0,4.41330893425,2.436510724130948,46942000.0,25.48437600524704,25.48437600524704,,,0.03,6.857,0.027,256.112,5.375,0.0066740823136818,23.23,mitochondria,,,GO:0005739;GO:0043226;GO:0043229;GO:0043231;GO:0044464,0.0,,,,0.0,87.22,0.1,0.12,-0.05,0.41,-0.42,48.64,104758.6,8.86
YMR067C,0.211570123836946,0.765542695131599,1.1579477240545282,1251.0,39.4085,0.4186,-0.352142857142857,0.160303756994403,0.0,0.0408,0.0048,0.0552,0.0576,0.0456,0.0288,0.0264,0.0647,0.0935,0.1055,0.024,0.0743,0.0791,0.0456,0.0312,0.0887,0.0647,0.0504,0.0072,0.0096,0.283,0.271,0.2278,3.0,13.0,109.0,14.49910247,3.9541127684790625,868493333.3333334,29.6939395354253,29.6939395354253,,,0.016,1.553,0.015,103.118,0.772,0.2470023980815347,,,GO:0005488;GO:0005515;GO:0032403,GO:0006508;GO:0008152;GO:0009056;GO:0009987;GO:0019538;GO:0030154;GO:0032502;GO:0043170;GO:0043934;GO:0044237;GO:0044238;GO:0048646;GO:0051603,GO:0005634;GO:0005737;GO:0043226;GO:0043229;GO:0043231;GO:0044464,0.0,,,,0.0,82.13,0.06,0.15,0.06,0.46,-0.52,40.15,46970.4,9.44
YMR069W,0.842257201884822,0.0296444194548887,1.7928529982608168,858.0,51.8648,0.1731,,,,0.0734,0.0315,0.0559,0.0594,0.035,0.0699,0.049,0.0455,0.042,0.0839,0.028,0.0385,0.042,0.0105,0.0839,0.0594,0.0524,0.0769,0.007,0.0524,0.3007,0.2098,0.2448,2.0,8.0,70.0,3.52182235175,2.1769043142292714,,,24.35167656448304,,,0.017,1.51,0.016,92.387,2.106,0.0,27.19,nucleus,GO:0003824;GO:0004402;GO:0004468;GO:0008080;GO:0016407;GO:0016410;GO:0016740;GO:0016746;GO:0016747,GO:0006325;GO:0006464;GO:0006996;GO:0008152;GO:0009987;GO:0016043;GO:0016568;GO:0016570;GO:0018193;GO:0019538;GO:0043170;GO:0043412;GO:0043543;GO:0044237;GO:0044238;GO:0051276;GO:0065007,GO:0005634;GO:0005737;GO:0043226;GO:0043229;GO:0043231;GO:0044464,0.0,,,,0.0,74.67,0.09,0.08,0.01,0.43,-0.32,43.06,32337.4,8.16
YMR070W,-1.17083497134,0.0103823538947421,0.4441642025811633,1473.0,42.2946,0.7505,,,,0.0794,0.0081,0.0326,0.0102,0.0204,0.0326,0.0652,0.0367,0.0346,0.055,0.0183,0.2016,0.0733,0.0957,0.0183,0.0998,0.0448,0.0326,0.0061,0.0326,0.1833,0.4073,0.1629,2.0,20.0,106.0,15.26027453,4.023279710217037,813480000.0,29.59953163749482,29.59953163749482,,,0.069,7.013,0.054,130.179,2.755,0.8004073319755601,16.25,below threshold,GO:0000975;GO:0000976;GO:0000977;GO:0000978;GO:0000987;GO:0001012;GO:0001067;GO:0001085;GO:0001102;GO:0001103;GO:0001159;GO:0003676;GO:0003677;GO:0005488;GO:0005515;GO:0008134;GO:0033613;GO:0043167;GO:0043169;GO:0043565;GO:0044212;GO:0046872;GO:0070491,GO:0006139;GO:0006807;GO:0006950;GO:0006970;GO:0008152;GO:0009058;GO:0009628;GO:0009987;GO:0016070;GO:0034641;GO:0043170;GO:0044237;GO:0044238;GO:0050896;GO:0065007,GO:0005634;GO:0005829;GO:0043226;GO:0043229;GO:0043231;GO:0044464,0.0,,,,0.0,50.07,0.06,0.13,0.02,0.45,-1.14,54.07,54387.6,8.98
YMR071C,0.757664958579681,0.0149242471972635,1.6907518807501956,504.0,38.0952,0.00345,-0.056340909090909,0.200337301587301,0.259795918367346,0.0714,0.0179,0.0298,0.0357,0.0833,0.0655,0.0179,0.1548,0.0357,0.0952,0.0298,0.0536,0.0238,0.0298,0.0238,0.0655,0.0357,0.0774,0.0119,0.0357,0.4583,0.2083,0.2321,6.0,3.0,41.0,46.6430399325,5.574193564252731,134270000.0,27.00056176868199,27.00056176868199,,,0.131,4.433,0.1,44.215,2.023,0.0,58.17,punctate,,GO:0006810;GO:0009987;GO:0016192;GO:0051234,GO:0044464,0.0,,,,0.0,123.72,0.13,0.1,-0.03,0.44,0.83,28.93,18692.3,6.76
YMR073C,-1.82735928544672,0.018367145665209,0.2817799204759402,606.0,39.1089,0.1373,0.0,0.120874587458745,-0.021698113207547,0.0297,0.0198,0.0644,0.0198,0.0396,0.0347,0.0396,0.0644,0.0941,0.104,0.0248,0.0594,0.0693,0.0446,0.0446,0.0941,0.0248,0.0693,0.0149,0.0396,0.3317,0.2574,0.1782,,,,19.882718637500002,4.384237637710997,47393333.333333336,25.49818082881031,25.49818082881031,,,0.094,4.427,0.076,58.149,4.045,0.1287128712871287,21.81,cytosol,GO:0005488;GO:0005506;GO:0020037;GO:0043167;GO:0043169;GO:0046872;GO:0046906;GO:0046914,,,0.0,,,,0.0,83.89,0.09,0.13,0.03,0.44,-0.4,36.48,23193.3,10.0
YMR076C,-0.991593059966439,0.0047612032471655,0.5029221291055695,3834.0,35.0026,0.0948,,,,0.0516,0.0063,0.072,0.0696,0.0509,0.0266,0.0196,0.0861,0.09,0.1197,0.0102,0.0595,0.036,0.0344,0.0376,0.0759,0.0595,0.0477,0.007,0.0391,0.3505,0.198,0.2512,274.0,35.0,99.0,6.86900025175,2.97618035447966,337673333.3333333,28.331053015009275,28.331053015009275,,,0.022,6.792,0.021,316.817,3.464,0.094679186228482,33.24,nucleus,GO:0005198,GO:0006139;GO:0006259;GO:0006281;GO:0006323;GO:0006807;GO:0006950;GO:0006974;GO:0006996;GO:0007126;GO:0008152;GO:0009987;GO:0016043;GO:0034641;GO:0043170;GO:0044237;GO:0044238;GO:0050896;GO:0051276;GO:0051301,GO:0000228;GO:0005634;GO:0005694;GO:0005829;GO:0043226;GO:0043229;GO:0043231;GO:0043232;GO:0044464,0.0,,,,0.0,94.06,0.1,0.16,0.05,0.47,-0.32,36.91,147024.2,6.18
YMR077C,-0.496578852224617,0.323444579376416,0.7087855748944886,666.0,35.2853,0.4274,,,,0.036,0.0,0.0631,0.1216,0.027,0.027,0.018,0.0495,0.1036,0.1216,0.0315,0.0811,0.027,0.0586,0.045,0.0721,0.0495,0.045,0.0,0.018,0.2613,0.2072,0.3108,15.0,8.0,60.0,4.99921244325,2.5847731209223324,,,23.196135388238154,,,0.081,4.484,0.063,71.184,6.88,0.3288288288288288,23.1,punctate,,GO:0006508;GO:0006810;GO:0006996;GO:0007034;GO:0008152;GO:0009056;GO:0009987;GO:0015031;GO:0016043;GO:0016044;GO:0016050;GO:0016192;GO:0016197;GO:0019538;GO:0043170;GO:0044237;GO:0044238;GO:0051234;GO:0051603;GO:0061024,GO:0005737;GO:0016020;GO:0032991;GO:0043234;GO:0044464,1.0,,,,0.0,78.87,0.05,0.11,-0.07,0.39,-0.9,53.08,25630.2,5.0
YMR078C,-0.120519844165328,0.855009273340827,0.9198561405027406,2226.0,38.0054,0.2849,,,,0.0485,0.0121,0.0701,0.058,0.0377,0.0458,0.0175,0.0795,0.0889,0.0997,0.0189,0.0755,0.0445,0.0431,0.0472,0.0782,0.0472,0.0485,0.0148,0.0229,0.3032,0.2439,0.2251,16.0,21.0,180.0,7.816762269749999,3.140248960212096,297773333.3333333,28.14963932514944,28.14963932514944,,,0.025,4.456,0.024,188.572,3.14,0.0660377358490566,20.45,nucleus,GO:0000166;GO:0003676;GO:0003677;GO:0005488;GO:0005524;GO:0017076;GO:0030554;GO:0032553;GO:0032555;GO:0032559;GO:0035639,GO:0006139;GO:0006259;GO:0006281;GO:0006310;GO:0006807;GO:0006950;GO:0006974;GO:0006996;GO:0008152;GO:0009987;GO:0016043;GO:0034641;GO:0043170;GO:0044237;GO:0044238;GO:0050896;GO:0051276,GO:0032991;GO:0043234;GO:0044464,1.0,,,,0.0,84.86,0.08,0.14,0.01,0.44,-0.51,41.76,84380.3,8.56
YMR079W,0.499948041418648,0.336892014508834,1.4141626304677617,915.0,39.0164,0.1731,1.53999999999999,0.399358469945354,0.152696048632218,0.0623,0.0131,0.0557,0.0918,0.0557,0.059,0.0131,0.0459,0.0787,0.0951,0.0262,0.0295,0.0623,0.0361,0.0459,0.0721,0.0361,0.0492,0.0098,0.059,0.3148,0.223,0.2754,12.0,12.0,48.0,325.25959294999996,8.349876511374266,5584300000.0,32.3787293023979,32.3787293023979,15421.557826087,1.49106413096391,0.234,10.471,0.17,61.717,3.413,0.0754098360655737,,,GO:0005215;GO:0005319;GO:0005548;GO:0008525;GO:0008526;GO:0022892,GO:0000003;GO:0006629;GO:0006810;GO:0006869;GO:0006996;GO:0007034;GO:0008152;GO:0009987;GO:0015031;GO:0016043;GO:0016044;GO:0016050;GO:0016192;GO:0030154;GO:0030437;GO:0032502;GO:0043934;GO:0044237;GO:0044238;GO:0044255;GO:0048193;GO:0048468;GO:0048646;GO:0048856;GO:0051234;GO:0061024,GO:0005737;GO:0005794;GO:0005829;GO:0016020;GO:0043226;GO:0043229;GO:0043231;GO:0044464,0.0,1.59,2.39,155.0,1.0,70.61,0.12,0.3,0.34,0.62,-0.47,44.91,34894.0,5.16
YMR080C,-0.404055774395691,0.0969739803386921,0.7557307471446019,2916.0,39.5062,0.2094,0.3119125,0.310950960219481,0.153634020618556,0.0607,0.0195,0.0566,0.0679,0.0401,0.0545,0.0226,0.0556,0.0617,0.1019,0.0144,0.0586,0.0453,0.0514,0.0504,0.0823,0.0463,0.0669,0.0134,0.0288,0.3066,0.2407,0.2449,56.0,2.0,53.0,46.087271135,5.5572652109399785,1225600000.0,30.190841057538904,30.190841057538904,,,0.081,16.083,0.07,228.505,10.126,0.0648148148148148,58.32,cytosol,GO:0000166;GO:0003676;GO:0003677;GO:0003724;GO:0003824;GO:0004004;GO:0004386;GO:0005488;GO:0005524;GO:0008026;GO:0008186;GO:0008270;GO:0016462;GO:0016787;GO:0016817;GO:0016818;GO:0016887;GO:0017076;GO:0017111;GO:0030554;GO:0032553;GO:0032555;GO:0032559;GO:0035639;GO:0042623;GO:0043021;GO:0043024;GO:0043167;GO:0043169;GO:0046872;GO:0046914;GO:0070035,GO:0006139;GO:0006259;GO:0006310;GO:0006401;GO:0006417;GO:0006464;GO:0006807;GO:0008152;GO:0009056;GO:0009987;GO:0016070;GO:0016071;GO:0016458;GO:0019538;GO:0034641;GO:0040029;GO:0043170;GO:0043412;GO:0044237;GO:0044238;GO:0051179;GO:0051641;GO:0065007;GO:0070647,GO:0005634;GO:0005737;GO:0005844;GO:0030529;GO:0032991;GO:0043226;GO:0043229;GO:0043231;GO:0044464,1.0,,,,0.0,82.62,0.08,0.2,0.2,0.54,-0.39,34.65,109419.3,6.44
YMR081C,-1.74277899260292,0.240175226339302,0.29879357009088764,1017.0,40.413,0.562,,,,0.0442,0.0177,0.0383,0.0413,0.0324,0.0383,0.0501,0.0383,0.0383,0.0855,0.0029,0.1121,0.0501,0.0265,0.059,0.2153,0.0472,0.0295,0.0,0.0295,0.2153,0.4159,0.174,,,,0.9751885957499999,0.981990411853348,,,22.99525550558072,,,0.075,6.98,0.066,106.528,9.899,0.6696165191740413,21.71,cytosol,,GO:0006091;GO:0008152;GO:0009987;GO:0044237;GO:0045333,,0.0,,,,0.0,60.56,0.06,0.14,0.11,0.47,-0.84,57.96,37116.9,8.97
YMR083W,-0.92101546205961,0.0987589831492482,0.5281371523446317,1128.0,42.1986,0.1583,0.991692307692307,0.670587322695036,0.276875,0.0824,0.0186,0.0479,0.0532,0.0319,0.1037,0.0239,0.0585,0.0851,0.0878,0.0133,0.0319,0.0426,0.0266,0.0293,0.0691,0.0505,0.0957,0.0133,0.0319,0.3191,0.2473,0.2367,1.0,12.0,33.0,191.223642975,7.58664198428912,3069766666.6666665,31.51548185479561,31.51548185479561,61456.6578260869,5.94205975341805,0.134,6.972,0.099,70.204,1.611,0.0,120.86,mitochondria,GO:0003824;GO:0004022;GO:0005488;GO:0008270;GO:0016491;GO:0016614;GO:0016616;GO:0043167;GO:0043169;GO:0046872;GO:0046914,GO:0006066;GO:0006082;GO:0006091;GO:0006113;GO:0006139;GO:0006520;GO:0006807;GO:0008152;GO:0009056;GO:0009058;GO:0009117;GO:0009308;GO:0009987;GO:0034641;GO:0042180;GO:0044237;GO:0044238;GO:0044281;GO:0046483;GO:0051186;GO:0055086,GO:0044464,0.0,10.36,42.12,,0.0,91.21,0.08,0.3,0.37,0.64,-0.04,26.68,40375.0,8.62
YMR084W,0.586697887320136,0.0825765382182068,1.5018054031148478,789.0,39.7972,0.1791,,,,0.0456,0.0266,0.0532,0.0722,0.038,0.0722,0.038,0.0646,0.0722,0.1103,0.0114,0.0684,0.0342,0.019,0.0266,0.0684,0.0608,0.0646,0.0,0.0494,0.327,0.2433,0.2395,,,,0.75359190775,0.8103130458632432,,,23.94554068395766,,,0.088,4.532,0.073,62.03,1.859,,15.73,below threshold,GO:0003824;GO:0004360;GO:0008483;GO:0016740;GO:0016769,GO:0005975;GO:0006066;GO:0006082;GO:0006139;GO:0006520;GO:0006807;GO:0008152;GO:0009058;GO:0009225;GO:0009308;GO:0009987;GO:0034641;GO:0042180;GO:0044237;GO:0044238;GO:0044281,,0.0,,,,0.0,88.98,0.09,0.16,0.12,0.5,-0.26,39.82,29265.5,6.17
YMR085W,-0.0845953334693506,0.741265562494855,0.9430490179102675,1299.0,39.6459,0.0948,,,,0.0647,0.0323,0.0531,0.0739,0.0346,0.0485,0.0231,0.1016,0.0716,0.0901,0.0208,0.0416,0.0323,0.0323,0.0439,0.0762,0.0485,0.0716,0.0092,0.0277,0.3349,0.1986,0.2494,,,,0.9084499982500001,0.9324013881663831,,,25.80159363250333,,,0.047,4.473,0.041,108.703,3.365,,17.05,below threshold,GO:0003824;GO:0004360;GO:0005488;GO:0008483;GO:0016740;GO:0016769;GO:0030246,GO:0005975;GO:0008152;GO:0044238,,0.0,,,,0.0,98.01,0.07,0.14,0.08,0.49,-0.03,37.45,48497.7,6.51
YMR086W,-0.174636568652374,0.655544210302861,0.8859906821579949,2883.0,40.7215,0.7843,,,,0.0499,0.0021,0.0375,0.0791,0.025,0.0541,0.0166,0.0323,0.1061,0.0583,0.0135,0.0905,0.0604,0.052,0.0552,0.1519,0.0624,0.0364,0.001,0.0146,0.1675,0.3569,0.2008,18.0,2.0,9.0,13.8695422575,3.894288331181579,2696433333.3333335,31.328405219592337,31.328405219592337,,,0.019,4.374,0.018,243.039,3.256,1.0,45.81,cell periphery,,GO:0006461;GO:0009987;GO:0016043;GO:0022607;GO:0034622;GO:0065003,GO:0005886;GO:0016020;GO:0032991;GO:0043234;GO:0044464,0.0,,,,0.0,48.97,0.04,0.12,0.03,0.44,-1.22,53.48,105918.6,10.42
YMR087W,0.770920492462953,0.0779639977759934,1.7063581555094602,855.0,39.0643,0.0851,,,,0.0491,0.0281,0.0456,0.0491,0.0421,0.0807,0.0421,0.0877,0.0561,0.1018,0.0351,0.0491,0.0596,0.0281,0.0386,0.0561,0.0386,0.0491,0.0105,0.0491,0.3404,0.2456,0.2351,1.0,3.0,2.0,5.450350810500001,2.6893776254669937,,,23.19666606390745,,,0.114,7.003,0.084,83.628,6.344,0.0,16.24,below threshold,GO:0003824;GO:0016787;GO:0016788;GO:0016791;GO:0042578,GO:0006139;GO:0006396;GO:0006399;GO:0006793;GO:0006807;GO:0008033;GO:0008152;GO:0008380;GO:0009987;GO:0016070;GO:0034641;GO:0043170;GO:0044237;GO:0044238,,0.0,,,,0.0,89.97,0.1,0.1,-0.06,0.4,-0.07,53.22,32067.6,7.56
YMR088C,-0.694835713713553,0.0021414985783535,0.6177796639555649,1689.0,38.6619,0.0082,0.308513513513513,0.220352871521609,-0.664776595744681,0.0622,0.016,0.0213,0.0373,0.0728,0.0657,0.0107,0.087,0.0426,0.1385,0.0178,0.0409,0.0337,0.0284,0.0337,0.1012,0.0586,0.0693,0.0142,0.0462,0.4281,0.2416,0.2558,,,,56.8156716925,5.85338870194686,,,25.23701906250424,,,0.034,4.34,0.031,137.748,1.606,0.0301953818827708,15.31,below threshold,GO:0005215;GO:0005275;GO:0005342;GO:0015171;GO:0015174;GO:0022804;GO:0022857;GO:0022891;GO:0022892;GO:0046943,GO:0006810;GO:0006865;GO:0015837;GO:0015849;GO:0051234,GO:0016020;GO:0044464,0.0,,,,0.0,111.33,0.13,0.12,0.05,0.45,0.52,40.87,62649.9,9.02
YMR089C,1.2717130067749,0.0982821412133278,2.4144808260390094,2478.0,39.9919,0.2783,0.11801724137931,0.168178773204196,0.196263736263736,0.0726,0.0061,0.0617,0.0896,0.0436,0.0642,0.0157,0.0593,0.092,0.0896,0.0194,0.0557,0.0484,0.0327,0.0593,0.0545,0.0412,0.0593,0.0085,0.0254,0.2857,0.2228,0.2712,3.0,23.0,132.0,27.9202346,4.854007350318987,1386900000.0,30.369216623434138,30.369216623434138,,,0.044,6.935,0.039,176.674,2.036,0.2009685230024213,45.45,mitochondria,GO:0000166;GO:0003824;GO:0004175;GO:0004222;GO:0005488;GO:0005524;GO:0008233;GO:0008237;GO:0008270;GO:0016462;GO:0016787;GO:0016817;GO:0016818;GO:0016887;GO:0017076;GO:0017111;GO:0030554;GO:0032553;GO:0032555;GO:0032559;GO:0035639;GO:0043167;GO:0043169;GO:0046872;GO:0046914;GO:0070011,GO:0006461;GO:0006508;GO:0006518;GO:0006605;GO:0006810;GO:0008152;GO:0009987;GO:0015031;GO:0016043;GO:0019538;GO:0022607;GO:0043170;GO:0044237;GO:0044238;GO:0051234;GO:0051604;GO:0055085;GO:0065003,GO:0016020;GO:0032991;GO:0043234;GO:0044464,1.0,,,,0.0,77.87,0.08,0.17,0.15,0.52,-0.57,40.04,93277.3,7.66
YMR090W,-0.383780866150194,0.103407889705187,0.7664263853074603,684.0,40.4971,0.1611,,,,0.0877,0.0088,0.0614,0.0702,0.0351,0.0658,0.0044,0.0658,0.0789,0.0877,0.0175,0.0614,0.0263,0.0263,0.0439,0.0789,0.0395,0.1009,0.0044,0.0307,0.3246,0.2325,0.2632,,,,6.4707783875,2.901258566613194,206770000.0,27.623451648098204,27.623451648098204,,,0.181,7.047,0.134,52.457,2.88,,26.45,cytosol,,,GO:0005737;GO:0044464,0.0,,,,0.0,94.37,0.07,0.19,0.21,0.55,-0.13,28.0,24880.7,5.45
YMR091C,-1.0757306949585,0.0482597683099603,0.4744307103511634,1308.0,39.2202,0.4017,0.218181818181818,0.170741590214066,-0.149,0.0482,0.0046,0.0849,0.1078,0.0367,0.0596,0.0229,0.0596,0.0619,0.0711,0.0115,0.0711,0.039,0.0275,0.0665,0.0734,0.055,0.055,0.0046,0.0367,0.2638,0.2431,0.2385,27.0,,,20.464836950000002,4.423903308794933,1896933333.3333333,30.821021831672542,30.821021831672542,691.4138,0.0668507247101535,0.075,6.955,0.062,111.319,3.93,0.3188073394495412,49.79,nucleus,,GO:0006139;GO:0006325;GO:0006354;GO:0006605;GO:0006807;GO:0006810;GO:0006913;GO:0006996;GO:0008152;GO:0009058;GO:0009987;GO:0015031;GO:0016043;GO:0016070;GO:0016568;GO:0022411;GO:0034641;GO:0043170;GO:0044237;GO:0044238;GO:0051169;GO:0051234;GO:0051276;GO:0065007,GO:0016585;GO:0032991;GO:0043234;GO:0044464,1.0,,,,0.0,67.6,0.08,0.14,-0.01,0.43,-0.88,52.81,49623.0,4.58
YMR092C,1.19893365664987,0.0694814889882713,2.2956992559313685,1848.0,40.9632,0.2328,0.332289156626506,0.509331709956711,0.150526315789473,0.0487,0.013,0.0698,0.0503,0.0438,0.0812,0.0211,0.0649,0.0617,0.0714,0.0114,0.0455,0.0373,0.039,0.0325,0.1218,0.0584,0.0844,0.0211,0.0211,0.3068,0.2857,0.1818,8.0,3.0,24.0,47.987432265,5.614339767899514,1041366666.6666666,29.9558309884105,29.9558309884105,,,0.141,15.949,0.104,152.967,18.316,0.0,99.57,punctate:cytosol,GO:0003779;GO:0005488;GO:0005515;GO:0008092,GO:0006950;GO:0006970;GO:0006996;GO:0007010;GO:0009628;GO:0009987;GO:0016043;GO:0022411;GO:0033043;GO:0050896;GO:0051261;GO:0065007,GO:0032991;GO:0043234;GO:0044464,0.0,,,,0.0,80.45,0.09,0.18,0.18,0.53,-0.26,37.44,67310.0,5.27
YMR093W,0.0905156228908885,0.798528715734039,1.064750659061566,1542.0,40.5318,0.2627,-0.071230769230769,0.369959857328147,0.023039215686275,0.0681,0.0097,0.0525,0.0467,0.0389,0.0467,0.0292,0.0467,0.0603,0.0914,0.0156,0.0525,0.0428,0.0467,0.0642,0.1012,0.0681,0.0739,0.0136,0.0292,0.2938,0.2432,0.2218,25.0,14.0,147.0,57.669550692499996,5.874540038384893,2503366666.6666665,31.221222471773174,31.221222471773174,,,0.013,1.495,0.012,123.711,0.717,0.0758754863813229,15.32,below threshold,GO:0003676;GO:0003723;GO:0005488;GO:0030515,GO:0006139;GO:0006364;GO:0006396;GO:0006807;GO:0008152;GO:0009058;GO:0009987;GO:0016070;GO:0034641;GO:0043170;GO:0044237;GO:0044238;GO:0065007,GO:0005730;GO:0030529;GO:0030684;GO:0032991;GO:0043226;GO:0043229;GO:0043232;GO:0043234;GO:0044464,1.0,,,,0.0,77.55,0.08,0.15,0.09,0.48,-0.43,42.07,57700.2,9.76
YMR094W,0.719065322305536,0.258167309182336,1.646115221628861,1437.0,34.7947,0.0568,,,,0.0313,0.0125,0.0605,0.0647,0.0543,0.0292,0.0167,0.0814,0.0898,0.1065,0.0146,0.0668,0.0292,0.0271,0.0626,0.0814,0.0418,0.0647,0.0188,0.0438,0.3695,0.2067,0.2171,11.0,26.0,105.0,5.32849286175,2.661861960985431,,,24.085702305764073,,,,,,,,0.0897703549060542,,,GO:0003676;GO:0003677;GO:0005488;GO:0008301;GO:0019237;GO:0043565,GO:0006461;GO:0006996;GO:0009987;GO:0016043;GO:0022607;GO:0034622;GO:0051276;GO:0065003;GO:0070925,GO:0000776;GO:0032991;GO:0043226;GO:0043229;GO:0043232;GO:0043234;GO:0044464,1.0,,,,0.0,88.19,0.12,0.12,-0.03,0.42,-0.37,45.44,56349.6,9.53
